All_AA O/C/N+1_angle 122.748 +/- 1.043 number 727813
AA_hydrophobes O/C/N+1_angle 122.756 +/- 1.039 number 299403
AA_charged O/C/N+1_angle 122.711 +/- 1.039 number 174371
AA_polar O/C/N+1_angle 122.756 +/- 1.041 number 197948
AA_bulky O/C/N+1_angle 122.735 +/- 1.036 number 426524
ALA O/C/N+1_angle 122.686 +/- 1.02 number 62799
ARG O/C/N+1_angle 122.725 +/- 1.017 number 35285
ASN O/C/N+1_angle 122.744 +/- 1.025 number 32395
ASP O/C/N+1_angle 122.657 +/- 1.011 number 44061
CYS O/C/N+1_angle 122.858 +/- 1.05 number 8964
GLN O/C/N+1_angle 122.702 +/- 1.01 number 27113
GLU O/C/N+1_angle 122.672 +/- 1.013 number 45641
GLY O/C/N+1_angle 122.789 +/- 1.082 number 56091
HIS O/C/N+1_angle 122.797 +/- 1.043 number 17505
ILE O/C/N+1_angle 122.711 +/- 1.038 number 40830
LEU O/C/N+1_angle 122.724 +/- 1.013 number 66459
LYS O/C/N+1_angle 122.703 +/- 1.076 number 39630
MET O/C/N+1_angle 122.75 +/- 1.087 number 12185
PHE O/C/N+1_angle 122.821 +/- 1.054 number 30982
PRO O/C/N+1_angle 122.952 +/- 1.06 number 35183
SER O/C/N+1_angle 122.795 +/- 1.06 number 40728
THR O/C/N+1_angle 122.768 +/- 1.055 number 41278
TRP O/C/N+1_angle 122.77 +/- 1.119 number 11570
TYR O/C/N+1_angle 122.817 +/- 1.057 number 27534
VAL O/C/N+1_angle 122.74 +/- 1.037 number 51580
B O/C/N+1_angle 123.02 +/- 1.172 number 17008
P O/C/N+1_angle 122.637 +/- 1.1 number 12197
null O/C/N+1_angle 122.609 +/- 1.009 number 302358
p O/C/N+1_angle 122.869 +/- 1.137 number 4056
E O/C/N+1_angle 123.121 +/- 1.014 number 198932
U O/C/N+1_angle 122.802 +/- 1.111 number 6251
Z O/C/N+1_angle 122.434 +/- 1.07 number 1770
d O/C/N+1_angle 122.558 +/- 1.004 number 20267
g O/C/N+1_angle 122.44 +/- 0.962 number 54205
D O/C/N+1_angle 122.605 +/- 1.006 number 109583
A O/C/N+1_angle 122.886 +/- 1.292 number 344
G O/C/N+1_angle 122.789 +/- 1.006 number 842
